refcode,component_refcode,component_index,smiles,HBD,HBA,logP,MW
ACCYGB10,ACCYGB10_3,3,Nc1ccc2cc3ccc(N)cc3[nH+]c2c1,2,2,1.9714999999999998,210.10257380408999
ACCYGB10,ACCYGB10_4,4,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_5,5,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_6,6,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_7,7,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_8,8,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_9,9,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_10,10,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_11,11,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_12,12,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_13,13,Nc1ccc2cc3ccc(N)cc3[nH+]c2c1,2,2,1.9714999999999998,210.10257380408999
ACCYGB10,ACCYGB10_14,14,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_15,15,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_16,16,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_17,17,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_18,18,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_19,19,O,0,0,-0.8247,18.010564684
ACCYGB10,ACCYGB10_20,20,CO,1,1,-0.3915,32.026214748
ACEBAP,ACEBAP_1,1,COc1ccc([O-])cc1,0,2,0.7687999999999999,123.04515304391
ACEBAP,ACEBAP_2,2,COc1ccc(O)cc1,1,2,1.4008,124.052429496
ACEBAP,ACEBAP_3,3,COc1ccc(O)cc1,1,2,1.4008,124.052429496
ACEBAP,ACEBAP_4,4,COc1ccc([O-])cc1,0,2,0.7687999999999999,123.04515304391
ACEBAP,ACEBAP_5,5,COc1ccc(O)cc1,1,2,1.4008,124.052429496
ACEBAP,ACEBAP_6,6,COc1ccc(O)cc1,1,2,1.4008,124.052429496
ACEBAP,ACEBAP_7,7,COc1ccc(O)cc1,1,2,1.4008,124.052429496
ACEBAP,ACEBAP_8,8,COc1ccc(O)cc1,1,2,1.4008,124.052429496
ACEBAP,ACEBAP_9,9,CCCC[N+](CCCC)(CCCC)CCCC,0,0,5.003600000000005,242.28422657209
ACEBAP,ACEBAP_10,10,CCCC[N+](CCCC)(CCCC)CCCC,0,0,5.003600000000005,242.28422657209
ACEQOQ,ACEQOQ_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEQOQ,ACEQOQ_2,2,O,0,0,-0.8247,18.010564684
ACEQOQ,ACEQOQ_3,3,CC(O)=O,1,1,0.09089999999999993,60.021129368000004
ACEQUW,ACEQUW_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEQUW,ACEQUW_2,2,CC(O)=O,1,1,0.09089999999999993,60.021129368000004
ACERAD,ACERAD_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERAD,ACERAD_2,2,COC(=O)N1C=NC(=C1N)C(N)=O,2,6,-0.8212999999999997,184.059640116
ACEREH,ACEREH_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEREH,ACEREH_2,2,Nc1ccccc1C(O)=O,2,2,0.9670000000000001,137.047678464
ACEREH,ACEREH_3,3,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEREJ,ACEREJ_1,1,OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1,6,7,1.2516999999999994,306.073952788
ACEREJ,ACEREJ_2,2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
ACEREJ,ACEREJ_3,3,O,0,0,-0.8247,18.010564684
ACEREJ,ACEREJ_4,4,O,0,0,-0.8247,18.010564684
ACEREJ,ACEREJ_5,5,O,0,0,-0.8247,18.010564684
ACEREJ,ACEREJ_6,6,O,0,0,-0.8247,18.010564684
ACERIL,ACERIL_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERIL,ACERIL_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERIL,ACERIL_3,3,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERIL,ACERIL_4,4,OC(=O)C=Cc1ccccc1,1,1,1.7844,148.052429496
ACERIL,ACERIL_5,5,NC(=O)C1=C(N)N=CN1,3,3,-0.9092000000000005,126.05416081199999
ACERIL,ACERIL_6,6,O,0,0,-0.8247,18.010564684
ACEROR,ACEROR_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEROR,ACEROR_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEROR,ACEROR_3,3,O,0,0,-0.8247,18.010564684
ACEROR,ACEROR_4,4,OC=O,1,1,-0.29919999999999997,46.005479304
ACERUX,ACERUX_1,1,O,0,0,-0.8247,18.010564684
ACERUX,ACERUX_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERUX,ACERUX_3,3,OC(=O)C=CC(O)=O,2,2,-0.28819999999999985,116.01095860800001
ACESAE,ACESAE_1,1,OC(C(O)C(O)=O)C(O)=O,4,4,-2.1226,150.01643791200001
ACESAE,ACESAE_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESEI,ACESEI_1,1,OC(=O)C(O)=O,2,2,-0.8443999999999998,89.995308544
ACESEI,ACESEI_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESIL,ACESIL_1,1,Oc1ccc(O)cc1,2,2,1.0977999999999999,110.036779432
ACESIL,ACESIL_2,2,Oc1ccc(O)cc1,2,2,1.0977999999999999,110.036779432
ACESIL,ACESIL_3,3,c1ccncc1,0,1,1.0816,79.04219916
ACESIM,ACESIM_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESIM,ACESIM_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESIM,ACESIM_3,3,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESIM,ACESIM_4,4,Nc1ccc(cc1)C(O)=O,2,2,0.9670000000000001,137.047678464
ACESIM,ACESIM_5,5,O,0,0,-0.8247,18.010564684
ACESOS,ACESOS_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESOS,ACESOS_2,2,OC(=O)c1ccc(O)cc1,2,2,1.0903999999999998,138.031694052
ACESOS,ACESOS_3,3,O,0,0,-0.8247,18.010564684
ACESUY,ACESUY_1,1,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESUY,ACESUY_2,2,OC(=O)CCC(O)=O,2,2,-0.06419999999999987,118.02660867200001
ACETAF,ACETAF_1,1,OC(=O)c1ccccc1O,2,2,1.0903999999999998,138.031694052
ACETAF,ACETAF_2,2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
