identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
LETGIA09,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
LETGIA10,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
LETGIA11,-3.2202,122.04399005199998,3,3,O=N(=O)[O-].NC(N)=[NH2+]
LETGIA12,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
LETJUT,0.34940000000000015,255.121906024,4,6,ON1CCN(O)CC1.Nc1ccc(cc1)C(O)=O
LEWPUY,1.0257999999999998,232.096025624,3,5,Nc1ncccn1.Nc1ccc(cc1)C(O)=O
LEWPUY01,1.0257999999999998,232.096025624,3,5,Nc1ccc(cc1)C(O)=O.Nc1ncccn1
LEWROU,-0.7664000000000011,233.080041212,2,5,Nc1[nH+]cccn1.Oc1ccccc1C(=O)[O-]
LEWROY,0.6693000000000002,196.084792244,3,2,OC(=O)c1ccccc1.CNC(N)=O
LEXQIQ,4.073220000000003,352.14567824799997,3,5,Cc1ccc2N=C(N)Sc2c1.OC(=O)CCCCCCCC(O)=O
LEXVUI01,-4.537099999999993,413.1605152959999,3,4,[Cl-].Oc1ccc2CC3[NH+](CCC45C(Oc1c24)C(=O)CCC35O)CC1CC1.O.O
LEYFIH,0.9524000000000004,389.1474520759999,3,7,C[N+](C)(C)CC(=O)[O-].Oc1ccc(cc1)C1CC(=O)c2c(O)cc(O)cc2O1
LEZQUE,2.0483,257.080041212,3,4,OC(=O)c1ccccc1O.N1N=Nc2ccccc12
LEZQUE01,2.0483,257.080041212,3,4,OC(=O)c1ccccc1O.N1N=Nc2ccccc12
LGLUAC,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC01,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC02,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC03,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC11,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC12,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC13,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC14,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUAC15,-2.7883999999999993,147.053157768,2,3,[NH3+]C(CCC(O)=O)C(=O)[O-]
LGLUCA,-6.153299999999997,222.02850450409002,1,4,[Ca+2].[NH3+]C(CCC(=O)[O-])C(=O)[O-].O.O
LGLUTA,-4.449699999999997,183.02983548,3,2,[Cl-].[NH3+]C(CCC(O)=O)C(O)=O
LGLUTA02,-4.449699999999997,183.02983548,3,2,[Cl-].[NH3+]C(CCC(O)=O)C(O)=O
LGLUTA03,-4.449699999999999,183.02983548,3,2,[NH3+]C(CCC(O)=O)C(O)=O.[Cl-]
LGPYRG,-4.263499999999997,294.106315536,4,5,[NH3+]C(CCC(O)=O)C(=O)[O-].OC(=O)C1CCC(=O)N1.O
LHLASP01,-8.606200000000005,306.117548916,3,6,[NH3+]C(CC1=C[NH+]=CN1)C(=O)[O-].[NH3+]C(CC(=O)[O-])C(=O)[O-].O
LIACIT,-7.362399999999997,233.072295894,3,6,OC(=O)CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].O.[Li+]
LIBPOE,-0.18840000000000084,201.019094366,2,3,O=P[O-].[NH3+]c1ccc(cc1)C(O)=O
LIBPUK,-1.013100000000001,219.02965905,2,3,O=P[O-].[NH3+]c1ccc(cc1)C(O)=O.O
LIBQAR,-2.812099999999999,284.975158372,3,3,O[Se](=O)[O-].[NH3+]c1ccc(cc1)C(O)=O.O
LIBRED,-8.184400000000005,206.07183816199998,4,4,[Br-].NCCN.NCCN.[Li+]
LIBTUN,0.5751999999999997,329.044630016,2,6,Nc1[nH+]nc(c(N)n1)c1cccc(Cl)c1Cl.CCC(=O)[O-]
LIBWUS,4.034600000000005,465.158597148,1,4,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl.O
LIBXUR,0.3668999999999993,435.0712386879999,4,8,Nc1[nH+]nc(c(N)n1)c1cccc(Cl)c1Cl.CC(O)=O.CC(O)=O.CC(=O)[O-]
LIBYAY,1.1845999999999999,393.03954463599996,3,7,Nc1[nH+]nc(c(N)n1)c1cccc(Cl)c1Cl.Oc1ccc(cc1)C(=O)[O-]
LIBZDM,-5.9023999999999965,412.11778952399993,0,6,CS(C)=O.CS(C)=O.O=C([O-])c1ccccc1.O=C([O-])c1ccccc1.[Li+].[Li+]
LICLAL,-5.1564,222.004349004,1,5,NC(=O)c1c[nH+]ccc1.O=[Cl](=O)(=O)[O-]
LICLED01,-8.184400000000005,162.12235374199997,4,4,[Cl-].NCCN.NCCN.[Li+]
LICLED10,-8.184400000000005,162.122353742,4,4,[Li+].[Cl-].NCCN.NCCN
LICLEP,-2.5794999999999986,212.04332135599998,2,4,OC(=O)C(=O)[O-].NC(=O)c1c[nH+]ccc1
LICLEP01,-2.5795000000000003,212.043321356,2,4,NC(=O)c1c[nH+]ccc1.OC(=O)C(=O)[O-]
LICNUJ,-8.1641,347.0190130879999,3,9,[NH2+]=C1NC(=O)N(C=C1)C1CSC(CO)O1.O=[Cl](=O)(=O)[O-].O
LICPAR,-3.578799999999997,327.019491756,4,8,OS(=O)(=O)[O-].[NH2+]=C1NC(=O)N(C=C1)C1CSC(CO)O1
