identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
OMIVUB03,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMIVUB04,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMIVUB05,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMIVUB06,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMIVUB07,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMIVUB08,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMIVUB09,-0.12729999999999986,170.105527688,1,2,CCC(N1CCCC1=O)C(N)=O
OMOLEL,1.9223999999999999,347.130362532,2,5,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1.CN1CCCC1=O
OMUREV,11.848699999999983,983.5884478040001,8,7,O=C(Nc1ccccc1NC(=O)C1=Cc2ccccc2N1)Nc1ccccc1NC(=O)C1=Cc2ccccc2N1.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])c1ccccc1.CCO.CCO
OMUXUQ,-5.352799999999995,359.11187773609,4,5,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-].[NH2+]1CC[NH2+]CC1.O.O.O
OMUZEE,-14.951199999999998,592.1613623520001,4,4,Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.[Cl-].[Cl-].[Cl-].[Cl-].O.O.O.O
OMUZII,-89.78419999999839,4049.985345816094,31,31,[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].O.O.O.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1
OMUZOO,-90.7746999999985,3877.875161211914,29,29,[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].O.O.O.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.O
ONABAJ,-11.569500000000005,615.1794782600901,5,5,[Cl-].[Cl-].[Cl-].Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.Nc1cc[nH+]cc1.[Cl-].Nc1cc[nH+]cc1.Nc1cc[nH+]cc1
ONANIC01,-2.9930000000000083,2112.958152167998,12,40,OC1(CCOCC1)C[NH+]1CCC(CC1)COC1=NOc2cccc(OC3CCOC3)c12.OC1(CCOCC1)C[NH+]1CCC(CC1)COC1=NOc2cccc(OC3CCOC3)c12.OC1(CCOCC1)C[NH+]1CCC(CC1)COC1=NOc2cccc(OC3CCOC3)c12.OC1(CCOCC1)C[NH+]1CCC(CC1)COC1=NOc2cccc(OC3CCOC3)c12.OC(=O)CC(O)(CC(=O)[O-])C(=O)[O-].OC(=O)CC(O)(CC(=O)[O-])C(=O)[O-]
ONIKAA,-3.6885999999999983,226.09054006391,3,4,O=N(=O)[N-]CC[N-]N(=O)=O.O.NC(N)=[NH2+]
ONODAY,6.003800000000005,630.294116304,6,6,CC(C)C(C(N)=O)c1ccccc1.OC(=O)c1ccccc1O.CC(C)C(C(N)=O)c1ccccc1.OC(=O)c1ccccc1O
ONODAY01,12.007599999999991,1260.588232608,12,12,OC(=O)c1ccccc1O.CC(C)C(C(N)=O)c1ccccc1.OC(=O)c1ccccc1O.CC(C)C(C(N)=O)c1ccccc1.OC(=O)c1ccccc1O.CC(C)C(C(N)=O)c1ccccc1.OC(=O)c1ccccc1O.CC(C)C(C(N)=O)c1ccccc1
ONODAY02,6.003800000000006,630.2941163039999,6,6,CC(C)C(C(N)=O)c1ccccc1.CC(C)C(C(N)=O)c1ccccc1.OC(=O)c1ccccc1O.OC(=O)c1ccccc1O
OPEFUL,-5.6556999999999995,270.134634896,3,3,[Cl-].[NH3+]C(C(C)C)C(=O)[O-].[NH3+]C(C(C)C)C(O)=O
OPEFUL01,-5.6556999999999995,270.134634896,3,3,[NH3+]C(C(C)C)C(=O)[O-].[NH3+]C(C(C)C)C(O)=O.[Cl-]
OPOFUW,3.3244000000000016,475.08140944800004,3,7,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
OPOGAD,1.9958999999999998,430.10887605199997,3,7,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(ccc1O)c1ccc(F)cc1F
OPOQAN,-2.9119999999999955,335.12882124399994,2,3,[Cl-].COc1ccc2CC3[NH+](C)CCC45C(Oc1c24)C(O)C=CC35
